"","L_G+1","L_G+2","L_G+3","L_G-1","L_G-2","LN_G+1","LN_G+2","LN_G+3","LN_G-1","LN_G-2","LN_G-3"
"Aire",-0.72485392516249,-1.22573744481078,0.0358897686928594,-5.95045482940005,-1.16634292878368,4.55504376650018,4.480395800252,4.72789862854032,5.19793064585174,5.97938959981503,5.72498190374995
"Ddx39",7.34910078497934,7.14871464172451,7.29549458460839,7.37779934401225,7.70953140781954,6.88607543602296,6.95445039605559,7.04982672342769,7.77716397073424,6.99124265836769,7.02828436566563
"Ccdc57",1.86568960782197,2.00360104213853,0.992821046800973,1.22945426061489,0.505424399474747,-0.0909884343068161,-0.666269294921198,-0.14984562140868,0.237702992897507,0.575356219836822,-0.594211223416172
"Nudt12",1.61043255257989,2.12322990282893,1.48240549944487,2.1423023115198,1.0727282336994,0.83930259388178,1.48900893055671,1.72462349650746,2.33286022593785,1.64291950364946,0.961307499412502
"Bgn",-0.865716461002339,2.06863492755602,1.84728020398562,-0.592902824781965,2.16561553124095,-2.6489838874277,-2.54073841283734,-1.55423587648801,-1.78115603435381,-1.52700549779286,-2.83125042071702
"Eloa",7.88617087214486,7.74790175260755,7.73183446961604,7.9201988626512,7.90904293396049,8.39062063052606,8.46698970179492,8.42076910035251,7.95310791071452,8.23288268542898,8.3283506556639
"Pgghg",2.70374970339565,2.56198867049789,2.62555927209154,2.90441355386019,2.96772515072666,1.59894362601588,2.82461196234115,2.74631856760678,3.0715787912078,2.35707521490758,2.66060267561265
"Elac1",5.15665135202612,5.42240147525779,5.39344177331094,5.68117697651759,5.26109173681444,5.42366980058133,5.05669343984603,5.07854554054921,4.73661693985371,5.10577591924437,4.81363589765619
"Zbtb45",4.95020047455869,4.77243365778703,4.83412330078191,4.98249806279467,4.89070427151357,4.61676137206654,4.31031652462456,4.83099212150443,4.72830646156924,4.7938614017242,4.94541759748292
"Hnrnpab",7.84173116640388,7.69143300859263,7.71785156899527,7.86442799981781,7.95265848628841,6.82922395678264,6.82631225133099,6.90060770484424,7.56162044736481,6.92202173415597,6.88911600150989
