"","counts_bg","counts_fg","freq_bg","freq_fg","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"Nfat5",59,183,9.77233765911105e-05,9.70701780256456e-05,48,-0.0095772424426804,0.9703,0.990712378640777
"Rps26-ps1",45,165,7.45347787559317e-05,8.75222916624674e-05,43,0.228899737276538,0.3045,0.586145412844037
"Psmd7",93,262,0.000154038542762259,0.000138974790397372,84,-0.147459896039201,0.4719,0.719425984251968
"Hp",8,31,1.32506273343879e-05,1.64435820699181e-05,7,0.291670900158497,0.7472,0.884204231311707
"Ist1",14,58,2.31885978351788e-05,3.07654116146855e-05,8,0.39312957204851,0.3023,0.583727733026467
"Sf3b3",19,33,3.14702399191712e-05,1.75044583324935e-05,5,-0.811245139287585,0.0772,0.27660128113879
"Cog4",13,49,2.15322694183803e-05,2.59914684330964e-05,6,0.260510839646082,0.5308,0.761553846153846
"Aars",51,105,8.44727492567226e-05,5.56960037852065e-05,27,-0.592217477381439,0.0378,0.18053624288425
"Glg1",25,56,4.14082104199621e-05,2.97045353521101e-05,10,-0.465891832943825,0.2156,0.488667447095903
"Znrf1",12,36,1.98759410015818e-05,1.90957727263565e-05,5,-0.0549491765738546,0.9113,0.96224572147651
"Cfdp1",74,202,0.000122568302843088,0.000107148502520112,60,-0.192295028247611,0.3251,0.601895329165134
"Gabarapl2",81,288,0.000134162601760677,0.000152766181810852,92,0.186042216094209,0.2831,0.562133307055577
"Kars",10,62,1.65632841679848e-05,3.28871641398362e-05,10,0.948176268969636,0.0181,0.113327611940299
"Cmc2",84,382,0.000139131587011073,0.000202627366151894,120,0.539149273177615,0.0204,0.123281632653061
"Atmin",30,126,4.96898525039545e-05,6.68352045422478e-05,28,0.420337219397214,0.1268,0.375256437389771
"Cmip",27,131,4.4720867253559e-05,6.94873951986862e-05,29,0.624512523340595,0.022,0.129076923076923
"Plcg2",16,49,2.65012546687757e-05,2.59914684330964e-05,6,-0.0269939723685888,0.9417,0.977627923283151
"Hsbp1",93,277,0.000154038542762259,0.000146931362366688,95,-0.0676989705912367,0.6975,0.859328193832599
"Hsdl1",12,48,1.98759410015818e-05,2.54610303018087e-05,9,0.342028006496696,0.4253,0.682269024856597
"Cotl1",217,1005,0.000359423266445271,0.000533090321944119,210,0.567391597297172,0.0019,0.0242141772151899
"Crispld2",6,33,9.9379705007909e-06,1.75044583324935e-05,6,0.758527828963826,0.363,0.634714136853074
"Emc8",24,223,3.97518820031636e-05,0.000118287703277153,49,1.54950673855657,0,0
"Cox4i1",629,2590,0.00104183057416625,0.00137383476003509,370,0.398753446859846,0,0
"Irf8",277,1896,0.00045880297145318,0.00100571069692144,255,1.13056145446069,0,0
"Map1lc3b",169,585,0.000279919502438944,0.000310306306803293,197,0.14817801988542,0.2733,0.552487560192616
"Slc7a5",7,33,1.15942989175894e-05,1.75044583324935e-05,4,0.555102090987317,0.3728,0.64269698630137
"Cyba",1263,4264,0.00209194279041648,0.00226178819181067,404,0.112568670760591,0.1368,0.390834960272418
"Mvd",30,94,4.96898525039545e-05,4.9861184341042e-05,23,0.00486809064530706,0.9879,0.993822661870504
"Rnf166",18,34,2.98139115023727e-05,1.80348964637812e-05,4,-0.694935106289439,0.1313,0.382723914302258
"Piezo1",14,44,2.31885978351788e-05,2.3339277776658e-05,7,0.00895921777783843,0.9834,0.991774639423077
"Aprt",27,135,4.4720867253559e-05,7.16091477238369e-05,27,0.667298549318322,0.0239,0.135639909808343
"Trappc2l",29,120,4.8033524087156e-05,6.36525757545217e-05,31,0.398939394811269,0.1552,0.415805729442971
"Cbfa2t3",243,554,0.000402487805282031,0.000293862724733375,203,-0.452481616533185,0.0074,0.0625026845637584
"Ankrd11",65,163,0.000107661347091901,8.6461415399892e-05,56,-0.313120236502004,0.2059,0.476771205151794
"Spg7",20,43,3.31265683359697e-05,2.28088396453703e-05,6,-0.519398037989528,0.2051,0.475575034546292
