"","counts_bg","counts_fg","freq_bg","freq_fg","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"Lrrc8d",140,16,1.35480951571753e-05,2.40456868049294e-05,6,0.783731906427591,0.0594,0.0958394163763066
"Zfp326",241,9,2.33220780919947e-05,1.35256988277728e-05,16,-0.743658925720684,0.0267,0.0479331960261691
"Zfp644",376,36,3.63863127078423e-05,5.41027953110911e-05,43,0.559615317339997,0.0389,0.0661943270555811
"Evi5",96,2,9.29012239349165e-06,3.00571085061617e-06,6,-1.36112995202989,0.015,0.02894140625
"Rpl5",10822,464,0.00104726775564965,0.000697324917342952,1877,-0.586036910479027,0,0
"Fam69a",1152,18,0.0001114814687219,2.70513976555455e-05,238,-2.00354277783085,0,0
"Mtf2",216,5,2.09027753853562e-05,7.51427712654043e-06,15,-1.36315773738972,0.0012,0.00317301927194861
"Tmed5",1402,44,0.000135674495788284,6.61256387135558e-05,309,-1.02580823743853,0,0
"Ccdc18",43,0,4.16120065541813e-06,0,4,-2.36770672032345,0.0315,0.0553960360788037
"Dr1",329,19,3.1838023619362e-05,2.85542530808536e-05,29,-0.152001539979087,0.5884,0.66172671523983
"Atp5k",795,31,7.69338260711027e-05,4.65885181845506e-05,152,-0.71163611309218,1e-04,0.000327541998231653
"Gak",164,8,1.58706257555482e-05,1.20228434024647e-05,6,-0.373469005872741,0.319,0.402567024357009
"Crlf2",1808,75,0.000174963971744093,0.000112714156898106,471,-0.629868195883049,0,0
"Gtpbp6",97,14,9.38689450175719e-06,2.10399759543132e-05,6,1.0853582715837,0.0369,0.0634467625899281
"Chfr",270,25,2.61284692316953e-05,3.75713856327021e-05,23,0.507723330572941,0.0938,0.142032331902718
"Ankle2",273,5,2.64187855564919e-05,7.51427712654043e-06,20,-1.68720871863592,0,0
"Fbrsl1",279,45,2.69994182060851e-05,6.76284941388638e-05,25,1.29341084907443,0,0
"Noc4l",221,6,2.13866359266839e-05,9.01713255184851e-06,18,-1.16016815868933,0.0036,0.00837175141242938
"Ep400",313,17,3.02896698871134e-05,2.55485422302375e-05,36,-0.237053792509168,0.4165,0.501437845303867
"Pus1",288,14,2.78703671804749e-05,2.10399759543132e-05,26,-0.389466806318302,0.1874,0.256929422649889
"Hscb",324,15,3.13541630780343e-05,2.25428313796213e-05,32,-0.458663522167896,0.1116,0.164841387559809
"Chek2",56,0,5.41923806287013e-06,0,4,-2.6824020655479,0.0112,0.0224819290165267
"Pitpnb",312,18,3.01928977788479e-05,2.70513976555455e-05,26,-0.153144928763841,0.5952,0.667954680399879
"Tpst2",332,21,3.21283399441586e-05,3.15599639314698e-05,40,-0.0249668105618955,0.9342,0.950623238566131
"Srrd",146,9,1.41287278067686e-05,1.35256988277728e-05,9,-0.0586831016635798,0.8845,0.910404417280178
"Hps4",394,10,3.8128210656622e-05,1.50285542530809e-05,43,-1.28756483407399,1e-04,0.000327541998231653
"Adrbk2",823,149,7.96434451025378e-05,0.000223925458370905,176,1.47981778550932,0,0
"Sart3",184,15,1.7806067920859e-05,2.25428313796213e-05,17,0.324089603045675,0.3838,0.469314111239478
"Iscu",1678,822,0.000162383597669573,0.00123534715960325,555,2.91974883960777,0,0
"Selplg",5230,657,0.000506118126228764,0.000987376014427412,1414,0.962738157815124,0,0
"Coro1c",946,47,9.1546414419199e-05,7.063420498948e-05,185,-0.369528464009876,0.0355,0.0613385027985075
"Ssh1",76,56,7.35468022818089e-06,8.41599038172528e-05,10,3.34951780443895,1e-04,0.000327541998231653
"Alkbh2",79,0,7.6449965529775e-06,0,4,-3.11186538862137,0.002,0.00497248322147651
"Ung",153,2,1.48061325646273e-05,3.00571085061617e-06,30,-1.98035422297877,0.002,0.00497248322147651
"Kctd10",627,36,6.06761118824923e-05,5.41027953110911e-05,95,-0.162586312162068,0.4377,0.522714264990329
"Ube3b",99,10,9.58043871828826e-06,1.50285542530809e-05,5,0.599244852752828,0.2062,0.278276102003643
"Mvk",84,9,8.12885709430519e-06,1.35256988277728e-05,4,0.670101417491128,0.1812,0.250141755170486
