"","counts_bg","counts_fg","freq_bg","freq_fg","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"Polb",20,31,9.57290485011224e-05,9.10073040700815e-05,36,-0.0728963245350719,0.88805,0.965756810631229
"Gm26909",3,4,1.43593572751684e-05,1.17428779445266e-05,6,-0.287983711563664,0.893325,0.965756810631229
"Ikbkb",75,109,0.000358983931879209,0.000319993423988351,73,-0.165828058994778,0.56815,0.879282
"Ap3m2",4,4,1.91458097002245e-05,1.17428779445266e-05,8,-0.70052465506323,0.5652,0.879282
"Kat6a",3,7,1.43593572751684e-05,2.05500364029216e-05,10,0.514140899621212,0.5775,0.879282
"Gpat4",3,10,1.43593572751684e-05,2.93571948613166e-05,13,1.02661662721245,0.203225,0.665263636363636
"Gins4",5,7,2.39322621252806e-05,2.05500364029216e-05,12,-0.218828128947216,0.801075,0.952957731958763
"Golga7",14,20,6.70103339507857e-05,5.87143897226332e-05,30,-0.190365763419309,0.680975,0.91841265601051
"Tm2d2",6,15,2.87187145503367e-05,4.40357922919749e-05,20,0.614943110122745,0.32975,0.776500545851528
"Plekha2",8,25,3.8291619400449e-05,7.33929871532915e-05,26,0.936815175771026,0.120125,0.576944929797192
"Tacc1",12,10,5.74374291006735e-05,2.93571948613166e-05,19,-0.965880707225144,0.1419,0.609383983286908
"Fgfr1",6,8,2.87187145503367e-05,2.34857558890533e-05,12,-0.289090148112111,0.764825,0.952957731958763
"Whsc1l1",25,13,0.000119661310626403,3.81643533197116e-05,30,-1.64608899199687,0.002925,0.107180357142857
"Lsm1",7,12,3.35051669753928e-05,3.52286338335799e-05,16,0.0721548887665061,0.9156,0.968453558566284
"Ash2l",6,8,2.87187145503367e-05,2.34857558890533e-05,12,-0.289090148112111,0.73795,0.939534677419355
"Fnta",1,12,4.78645242505612e-06,3.52286338335799e-05,12,2.85397861033857,0.010675,0.222763728813559
"Hook3",6,13,2.87187145503367e-05,3.81643533197116e-05,16,0.408995031850882,0.573525,0.879282
"Rnf170",4,7,1.91458097002245e-05,2.05500364029216e-05,10,0.101599956121647,0.888525,0.965756810631229
"Zfp703",3,5,1.43593572751684e-05,1.46785974306583e-05,8,0.0315059310872944,0.94705,0.979410522788204
"Erlin2",2,6,9.57290485011224e-06,1.761431691679e-05,8,0.872894721992807,0.3791,0.792348190733852
"Prosc",7,13,3.35051669753928e-05,3.81643533197116e-05,17,0.187317945651207,0.791975,0.952957731958763
"Rab11fip1",7,20,3.35051669753928e-05,5.87143897226332e-05,23,0.807486100586475,0.18635,0.654139954980304
"Eif4ebp1",12,16,5.74374291006735e-05,4.69715117781066e-05,25,-0.289646571451339,0.6263,0.902263055685541
"Wrn",5,6,2.39322621252806e-05,1.761431691679e-05,8,-0.44005661920104,0.718125,0.933207512133362
"Ubxn8",7,5,3.35051669753928e-05,1.46785974306583e-05,12,-1.18517371582235,0.16745,0.641799755052052
"Gsr",41,50,0.000196244549427301,0.000146785974306583,43,-0.418690905068876,0.3262,0.776500545851528
"Gtf2e2",4,12,1.91458097002245e-05,3.52286338335799e-05,16,0.87629359217658,0.202225,0.664743161255987
"Rbpms",9,7,4.30780718255051e-05,2.05500364029216e-05,14,-1.06415449442174,0.185275,0.654139954980304
"Gm26632",3,3,1.43593572751684e-05,8.80715845839498e-06,6,-0.698966260342159,0.556375,0.879282
"Dctn6",3,8,1.43593572751684e-05,2.34857558890533e-05,11,0.705912412597854,0.400875,0.808580111402359
"Leprotl1",8,16,3.8291619400449e-05,4.69715117781066e-05,22,0.294062772345988,0.618525,0.898349044585987
"Saraf",11,12,5.26509766756173e-05,3.52286338335799e-05,18,-0.57835984437022,0.41025,0.818638249594814
"Eri1",12,20,5.74374291006735e-05,5.87143897226332e-05,28,0.0316684130585224,0.949,0.979410522788204
"Mfhas1",8,16,3.8291619400449e-05,4.69715117781066e-05,22,0.294062772345988,0.6205,0.899410878267012
"Tusc3",3,8,1.43593572751684e-05,2.34857558890533e-05,9,0.705912412597854,0.49635,0.876867986230637
"Cnot7",5,8,2.39322621252806e-05,2.34857558890533e-05,11,-0.0270566159705746,0.970325,0.980111960623462
"Vps37a",3,14,1.43593572751684e-05,4.11000728058433e-05,16,1.51064346155794,0.03955,0.398888780487805
"Pcm1",10,4,4.78645242505612e-05,1.17428779445266e-05,14,-2.01794803356694,0.014475,0.256795677233429
"Asah1",16,31,7.65832388008979e-05,9.10073040700815e-05,36,0.248655447381817,0.566925,0.879282
"Frg1",6,24,2.87187145503367e-05,7.04572676671599e-05,27,1.29178870756651,0.01855,0.29001256281407
"Cyp4v3",5,6,2.39322621252806e-05,1.761431691679e-05,11,-0.44005661920104,0.63895,0.905985372585097
"Fam149a",2,5,9.57290485011224e-06,1.46785974306583e-05,7,0.611488243712713,0.531725,0.879282
"Ufsp2",11,7,5.26509766756173e-05,2.05500364029216e-05,17,-1.35305348042515,0.062075,0.476803229813665
"Cfap97",6,3,2.87187145503367e-05,8.80715845839498e-06,8,-1.69396882105212,0.1696,0.641799755052052
"Slc25a4",48,99,0.000229749716402694,0.000290636229127034,61,0.339019973210625,0.3188,0.774478224852071
"Acsl1",3,8,1.43593572751684e-05,2.34857558890533e-05,8,0.705912412597854,0.57205,0.879282
"Primpol",9,4,4.30780718255051e-05,1.17428779445266e-05,12,-1.86627910560661,0.038675,0.3968055
"Casp3",4,6,1.91458097002245e-05,1.761431691679e-05,9,-0.119628534132177,0.909475,0.967841711229947
"Irf2",15,15,7.17967863758418e-05,4.40357922919749e-05,24,-0.703978190778208,0.231275,0.695180126953125
"Trappc11",1,5,4.78645242505612e-06,1.46785974306583e-05,6,1.59665000574972,0.24585,0.704248117154812
"Rwdd4a",6,4,2.87187145503367e-05,1.17428779445266e-05,9,-1.28298627227363,0.23575,0.69992978313253
"Ing2",8,7,3.8291619400449e-05,2.05500364029216e-05,13,-0.894647091019053,0.279225,0.727864902624894
"Cdkn2aip",1,8,4.78645242505612e-06,2.34857558890533e-05,7,2.27105648726028,0.13625,0.597829650748396
"Aga",5,4,2.39322621252806e-05,1.17428779445266e-05,7,-1.02095274013209,0.447875,0.838539689781022
"Spcs3",5,10,2.39322621252806e-05,2.93571948613166e-05,15,0.29364759864402,0.66885,0.914726691812736
"Cep44",5,3,2.39322621252806e-05,8.80715845839498e-06,8,-1.43193528891059,0.20435,0.66665532591415
"Sap30",6,14,2.87187145503367e-05,4.11000728058433e-05,17,0.51564090084797,0.49925,0.878895089922923
"Hmgb2",35,54,0.000167525834876964,0.00015852885225111,46,-0.0795893177512794,0.879925,0.965756810631229
"Galnt7",12,29,5.74374291006735e-05,8.51358650978182e-05,31,0.566959848095023,0.29285,0.745323894171145
"2700029M09Rik",2,8,9.57290485011224e-06,2.34857558890533e-05,9,1.28589472522327,0.220475,0.682308036162732
"Clcn3",3,9,1.43593572751684e-05,2.64214753751849e-05,12,0.875157608738742,0.287375,0.737181
"Palld",4,12,1.91458097002245e-05,3.52286338335799e-05,15,0.87629359217658,0.23995,0.701392307692308
"Ddx60",7,1,3.35051669753928e-05,2.93571948613166e-06,8,-3.46857268154998,0.02095,0.305259198113208
"Msmo1",27,38,0.000129234215476515,0.000111557340473003,43,-0.212025893246763,0.6459,0.909559187400137
"Tmem192",5,5,2.39322621252806e-05,1.46785974306583e-05,10,-0.701463097481134,0.419225,0.821632951289398
"Tma16",2,4,9.57290485011224e-06,1.17428779445266e-05,6,0.291998601061754,0.802325,0.952957731958763
"Lpl",7,6,3.35051669753928e-05,1.761431691679e-05,7,-0.923767237542251,0.525075,0.879282
