"","counts_bg","counts_fg","freq_bg","freq_fg","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"Rps24",32079,7302,0.00306331256588404,0.00284611453915512,1773,-0.106062928752659,0,0
"Zmiz1",757,126,7.22880268204813e-05,4.91112615630711e-05,175,-0.548442663846059,0,0
"Ppif",144,26,1.37509588667758e-05,1.0134069846348e-05,14,-0.405827699353263,0.10295,0.141632698019802
"Zcchc24",71,1,6.77998666347975e-06,3.89771917167231e-07,4,-2.484919548085,0,0
"Anxa11",369,79,3.52368320961131e-05,3.07919814562113e-05,63,-0.188793901112359,0.2397,0.29880067284689
"Slmap",141,65,1.34644805570513e-05,2.533517461587e-05,18,0.864476510660401,0.00055,0.0011449063670412
"Dennd6a",108,46,1.03132191500819e-05,1.79295081896926e-05,10,0.74262742541047,0.00515,0.00915860708191126
"Arf4",1243,919,0.00011869751299585,0.000358200391876686,538,1.58539574688797,0,0
"Pde12",232,25,2.21543226186944e-05,9.74429792918078e-06,24,-1.1077103365196,0,0
"Appl1",434,200,4.14438621401439e-05,7.79543834334463e-05,91,0.895463425723803,0,0
"Arhgef3",100,51,9.54927699081656e-06,1.98783677755288e-05,10,0.984864804383694,0.00035,0.000745325670498084
"Fam208a",173,58,1.65202491941126e-05,2.26067711956994e-05,26,0.430177436334791,0.05405,0.0792080945684655
"Selk",2674,1210,0.000255347666734435,0.00047162401977235,1000,0.882591185603477,0,0
"Actr8",222,55,2.11993949196128e-05,2.14374554441977e-05,27,0.0153887199404101,0.9407,0.951889294817332
"Tkt",2405,511,0.000229660111629138,0.000199173449672455,734,-0.204517905664363,0.00615,0.0107715441176471
"Prkcd",2117,689,0.000202158193895586,0.000268552850928222,746,0.407964614961041,0,0
"Rft1",86,23,8.21237821210224e-06,8.96475409484632e-06,5,0.11326056154126,0.69655,0.743075796545105
"Sfmbt1",104,20,9.93124807044922e-06,7.79543834334462e-06,8,-0.313630744458535,0.2591,0.319543890532544
"Tmem110",127,64,1.2127581778337e-05,2.49454026987028e-05,18,0.982877745155952,2e-04,0.000438328075709779
"Spcs1",1895,316,0.000180958798975974,0.000123167925824845,612,-0.551319262261476,0,0
"Glt8d1",86,24,8.21237821210224e-06,9.35452601201355e-06,5,0.168615967395069,0.56685,0.62693399442823
"Gnl3",315,22,3.00802225210722e-05,8.57498217767909e-06,45,-1.69865512605756,0,0
"Pbrm1",672,206,6.41711413782873e-05,8.02930149364496e-05,179,0.318898132849462,0.0087,0.0148357332787891
"Smim4",248,32,2.36822069372251e-05,1.24727013493514e-05,32,-0.873432249579979,0,0
"Nisch",793,254,7.57257665371753e-05,9.90020669604767e-05,225,0.382246760348877,6e-04,0.00124216538366029
"Bap1",127,28,1.2127581778337e-05,1.09136136806825e-05,7,-0.139990099873932,0.58615,0.644177768257316
"Capn7",196,40,1.87165829020004e-05,1.55908766866892e-05,19,-0.249019416190029,0.23705,0.296072786516854
"Mettl6",155,28,1.48013793357657e-05,1.09136136806825e-05,8,-0.407439416699306,0.0772,0.109589034564958
"Dph3",575,96,5.49083426971952e-05,3.74181040480542e-05,111,-0.541277256422576,5e-05,0.000116895681435782
"Parg",131,28,1.25095528579697e-05,1.09136136806825e-05,7,-0.181368841732752,0.46335,0.529606381957774
"Wdfy4",3754,66,0.000358479858235254,2.57249465330373e-05,947,-3.74965197154161,0,0
"Arhgap22",335,220,3.19900779192355e-05,8.57498217767909e-05,112,1.3948286083415,0,0
"Mapk8",148,36,1.41329299464085e-05,1.40317890180203e-05,10,-0.00967461774141664,0.9671,0.973270537115269
"Rpl23a-ps3",3453,608,0.000329736534492896,0.000236981325637677,1089,-0.474834050359998,0,0
"Glud1",2176,410,0.000207792267320168,0.000159806486038565,731,-0.376742684306096,0,0
"Wapl",528,134,5.04201825115114e-05,5.2229436900409e-05,110,0.0498895735670775,0.70905,0.75486525986464
"Ccser2",113,195,1.07906829996227e-05,7.60055238476101e-05,53,2.70731464673406,0,0
"Ghitm",1244,711,0.000118793005765758,0.000277127833105901,494,1.21520444943454,0,0
"Tspan14",154,30,1.47058865658575e-05,1.16931575150169e-05,11,-0.307254387854327,0.19285,0.24682076297206
"Ear2",471,109,4.4977094626746e-05,4.24851389712282e-05,105,-0.0803928577665192,0.7303,0.774816887248664
"Ptger2",106,2,1.01222336102655e-05,7.79543834334462e-07,11,-2.64386716943625,0,0
"Txndc16",247,5,2.35867141673169e-05,1.94885958583616e-06,27,-3.05964990912246,0,0
"Ero1l",167,22,1.59472925746636e-05,8.57498217767909e-06,19,-0.823713106317037,0.00175,0.00337725694444444
"Psmc6",1027,259,9.8071074695686e-05,0.000100950926546313,292,0.0413390795740242,0.6596,0.71102730799069
"Gnpnat1",246,71,2.34912213974087e-05,2.76738061188734e-05,33,0.22746869442083,0.22055,0.277921002116082
"Ddhd1",199,142,1.90030612117249e-05,5.53476122377468e-05,35,1.49413367381532,0,0
"Cdkn3",249,18,2.37776997071332e-05,7.01589450901016e-06,61,-1.62810683031532,0,0
"Cnih1",424,90,4.04889344410622e-05,3.50794725450508e-05,63,-0.201548357372934,0.16255,0.211812964989059
"Gmfb",493,103,4.70779355647256e-05,4.01465074682248e-05,96,-0.224604969672753,0.10135,0.13963889439762
"Cgrrf1",145,22,1.3846451636684e-05,8.57498217767909e-06,12,-0.632776455342969,0.01505,0.024506220703125
"Gch1",241,90,2.30137575478679e-05,3.50794725450508e-05,41,0.58731708097579,0.01295,0.0213875099049128
"Wdhd1",136,7,1.29870167075105e-05,2.72840342017062e-06,23,-1.9074584068818,0,0
"Socs4",222,65,2.11993949196128e-05,2.533517461587e-05,20,0.246470671213904,0.19285,0.24682076297206
"Mapk1ip1l",264,98,2.52100912557557e-05,3.81976478823887e-05,46,0.580644709001457,0.0014,0.0027392161464445
"Lgals3",11798,3405,0.00112662369937654,0.00132717337795442,1495,0.236157781834097,0.0249,0.0388893405769951
"Dlgap5",177,11,1.69022202737453e-05,4.28749108883954e-06,41,-1.7594832929476,0,0
"Fbxo34",123,18,1.17456106987044e-05,7.01589450901016e-06,10,-0.669065073353754,0.0157,0.0254206447853952
"Atg14",83,28,7.92589990237774e-06,1.09136136806825e-05,6,0.416541550102455,0.16165,0.210771981545199
"Ktn1",265,473,2.53055840256639e-05,0.0001843621168201,161,2.81690543921023,0,0
"Tmem260",75,28,7.16195774311242e-06,1.09136136806825e-05,7,0.545623936630439,0.0823,0.116195613886537
"Exoc5",286,86,2.73109321937353e-05,3.35203848763819e-05,49,0.28608929594482,0.10185,0.14025825074331
"Tlr11",266,14,2.5401076795572e-05,5.45680684034124e-06,36,-2.03170399894766,0,0
"Ttc5",387,73,3.69557019544601e-05,2.84533499532079e-05,60,-0.36588490097876,0.01905,0.0304310883310979
"Parp2",411,63,3.9247528432256e-05,2.45556307815356e-05,72,-0.655258989864949,0.00015,0.00033392523364486
"Tep1",688,47,6.56990256968179e-05,1.83192801068599e-05,147,-1.78762435133814,0,0
"Gm26782",98,28,9.35829145100022e-06,1.09136136806825e-05,6,0.201825025867711,0.47375,0.539643906271349
"Osgep",736,109,7.02826786524099e-05,4.24851389712282e-05,163,-0.713029106569223,0,0
"Apex1",689,47,6.57945184667261e-05,1.83192801068599e-05,143,-1.78968837578141,0,0
"Tmem55b",1182,168,0.000112872454031452,6.54816820840948e-05,327,-0.776390008524172,0,0
"Pnp",1056,209,0.000100840365023023,8.14623306879513e-05,299,-0.304502352596106,0.00185,0.00355624855891169
"Rnase6",5369,196,0.000512700681636941,7.63952957647773e-05,1128,-2.73061020365684,0,0
"Mettl17",65,27,6.20703004403076e-06,1.05238417635152e-05,8,0.677144991122759,0.04815,0.0711749202127659
"Ndrg2",12,50,1.14591323889799e-06,1.94885958583616e-05,10,3.25515746275469,0,0
"Arhgef40",267,169,2.54965695654802e-05,6.58714540012621e-05,58,1.3355848963113,0,0
"Hnrnpc",2195,615,0.000209606629948423,0.000239709729057847,754,0.192743600678159,0.00535,0.00948797064454371
"Rpgrip1",407,66,3.88655573526234e-05,2.57249465330373e-05,85,-0.576955777647011,0.0015,0.00292252862818416
"Supt16",661,127,6.31207209092974e-05,4.95010334802384e-05,158,-0.344477733552987,0.01175,0.019556747853863
"Chd8",325,76,3.10351502201538e-05,2.96226657047096e-05,42,-0.0650558806596884,0.6915,0.73844440886384
"Tox4",716,133,6.83728232542465e-05,5.18396649832418e-05,154,-0.392749279332287,0.00085,0.00172042971595047
"Mettl3",163,24,1.5565321495031e-05,9.35452601201355e-06,16,-0.677904688731499,0.00565,0.00997755772082186
"Dad1",2775,455,0.000264992436495159,0.00017734622231109,887,-0.576704565930649,0,0
"Abhd4",119,53,1.13636396190717e-05,2.06579116098633e-05,8,0.808790628453283,0.0011,0.00219027943635061
"Oxa1l",461,94,4.40221669276643e-05,3.66385602137197e-05,83,-0.258424053952078,0.0693,0.0992704639175258
"Slc7a7",259,39,2.47326274062149e-05,1.5201104769522e-05,33,-0.667506574359826,9e-04,0.00181502177068215
"Mrpl52",3440,590,0.00032849512848409,0.000229965431128666,1049,-0.512580197536573,0,0
"Mmp14",393,99,3.75286585739091e-05,3.85874197995559e-05,88,0.0391100819497578,0.8187,0.850423859955146
"Lrp10",841,159,8.03094194927672e-05,6.19737348295898e-05,195,-0.368672261728012,0.00065,0.0013406853043048
"Prmt5",210,16,2.00534816807148e-05,6.2363506746757e-06,16,-1.5407246080626,0,0
"Haus4",248,34,2.36822069372251e-05,1.32522451836859e-05,54,-0.792282189813755,0.00125,0.00246540099361249
"Psmb5",1903,495,0.000181722741135239,0.000192937098997779,619,0.0859326099842435,0.25215,0.312312368147378
"Acin1",1027,202,9.8071074695686e-05,7.87339272677807e-05,293,-0.313270171857621,0.00285,0.00529775919732441
"1700123O20Rik",536,114,5.11841246707767e-05,4.44339985570644e-05,107,-0.199838700574802,0.12635,0.169681048646907
"Pabpn1",228,82,2.17723515390617e-05,3.1961297207713e-05,28,0.533489745555176,0.0059,0.0103663435194942
"Ngdn",781,183,7.45798532982773e-05,7.13282608416033e-05,188,-0.0634422563356272,0.5562,0.61720210302143
"Thtpa",66,10,6.30252281393893e-06,3.89771917167231e-06,4,-0.576284906041064,0.09385,0.130491569379586
"Zfhx2",69,11,6.58900112366342e-06,4.28749108883954e-06,5,-0.521326681512985,0.13385,0.178459531424916
"Ap1g2",271,125,2.58785406451129e-05,4.87214896459039e-05,48,0.887414709946773,0,0
"Dhrs4",254,76,2.42551635566741e-05,2.96226657047096e-05,33,0.278021490051327,0.12025,0.1624310191186
"Pck2",141,14,1.34644805570513e-05,5.45680684034124e-06,14,-1.16362174101524,0,0
"Dcaf11",403,140,3.84835862729907e-05,5.45680684034124e-05,76,0.493003056804961,7e-04,0.00143705983747845
"Psme1",7977,2872,0.000761745825557437,0.00111942494610429,1589,0.554771726093599,0,0
"Emc9",186,28,1.77616552029188e-05,1.09136136806825e-05,20,-0.655176028749765,0.0039,0.00706986301369863
"Psme2",4065,4353,0.000388178109676693,0.00169667715542896,1289,2.12505966052538,0,0
"Rnf31",176,43,1.68067275038371e-05,1.67601924381909e-05,13,-0.00377519036530333,0.9864,0.988653137773503
"Irf9",723,154,6.90412726436037e-05,6.00248752437536e-05,170,-0.198807857013505,0.09135,0.12759004020774
"Ipo4",136,6,1.29870167075105e-05,2.33863150300339e-06,12,-2.06675951095291,0,0
"Tm9sf1",86,21,8.21237821210224e-06,8.18521026051186e-06,5,-0.00426089512542092,0.98915,0.990456828008648
"Mdp1",558,150,5.32849656087564e-05,5.84657875750847e-05,119,0.131507187567774,0.3061,0.369741480730223
"Nedd8",4433,1072,0.000423319449002898,0.000417835495203272,1293,-0.0187670951141327,0.6856,0.73418489148581
"Gmpr2",353,71,3.37089477775824e-05,2.76738061188734e-05,51,-0.275574211162038,0.0918,0.128025526932084
"Tinf2",102,26,9.74026253063289e-06,1.0134069846348e-05,10,0.0519517802640531,0.85555,0.880909021859948
"Rabggta",150,23,1.43239154862248e-05,8.96475409484632e-06,7,-0.620878865690174,0.01175,0.019556747853863
"Dhrs1",464,96,4.43086452373888e-05,3.74181040480542e-05,94,-0.238000030763304,0.0987,0.136597260956175
"Nop9",318,35,3.03667008307966e-05,1.36420171008531e-05,46,-1.0991194789796,0,0
"Ltb4r1",1988,30,0.000189839626577433,1.16931575150169e-05,518,-3.9102378686719,0,0
